Tier,Business,Vertical,Area,Website,Email,Phone,Score,Major,Total,Top finding,Date sent,Follow-up 1,Follow-up 2,Reply / outcome
A,Hundredhands,architecture studio,Bangalore,https://hundredhands.com/,touch@hundredhands.com,,90,4,9,Your site isn't built for phones.,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,Modular Kitchen Company,modular kitchen company,Jayanagar,https://www.modularkitchencompany.com/,info@modularkitchencompany.com,+919035796876,86,3,10,Your website never actually tells Google what kind of business you are,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,Overseas Educational Services,study abroad consultancy,Bangalore,https://oesedu.com/,admin@oesedu.com,+919731616027,85,3,9,Your website never actually tells Google what kind of business you are,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,Ministry of Skin,skin clinic,Jayanagar,https://dermatologyclinic.ministryofskin.in/,info@ministryofskin.in,+918115764611,84,3,8,Your website never actually tells Google what kind of business you are,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,Khushi Fertility,fertility clinic,Bangalore,https://www.khushifertility.com/,msakhushivf@gmail.com,,76,3,8,Your website never actually tells Google what kind of business you are,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,Global Developers,villa builder,Bangalore,https://www.globaldevelopers.co.in/,sales@globaldevelopers.co.in,+918880524524,75,3,7,Your website never actually tells Google what kind of business you are,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,Elements Kitchens,modular kitchen company,Jayanagar,https://www.elements4kitchens.com/,info@elements4kitchens.com,+919900269592,70,2,8,The file that tells Google how to read your site is missing or broken.,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,Khosla Associates,architecture studio,Indiranagar,https://www.khoslaassociates.com/,amaresh@khoslaassociates.com,,68,2,7,Your website never actually tells Google what kind of business you are,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,Learn Overseas,study abroad consultancy,Bangalore,https://learnoverseas.com/,info@learnoverseas.com,,63,2,5,Your website never actually tells Google what kind of business you are,DRAFT v2 ready,,,clickable audit link - awaiting your send
A,BSI Physiotherapy,physiotherapy clinic,Jayanagar,https://www.bsiphysiotherapy.com/,bsiphysiotherapy@gmail.com,,63,1,7,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
A,The Wedding Fellas,wedding photography studio,Bangalore,https://www.theweddingfellas.com/,hello@theweddingfellas.com,+917411091860,63,2,6,Google can see your pages but can't confirm you're a specific real bus,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,Flexability Physiotherapy,physiotherapy clinic,Koramangala,https://flexabilityphysio.com/,info@flexabilityphysio.com,+916360206006,59,1,7,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
A,SPARC Physio,physiotherapy clinic,Bangalore,https://sparcphysio.com.in/,info@sparcphysio.com,+917892667990,54,1,7,Google can see your pages but can't confirm you're a specific real bus,2026-07-31 15:12  SENT,,,HARD BOUNCE - domain has no MX
A,Neeta Shankar Photography,wedding photography studio,Whitefield,https://www.neetashankar.com/,info@neetashankar.com,+919980923130,53,1,5,Your website never actually tells Google what kind of business you are,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
A,My Phyzio,physiotherapy clinic,Bangalore,https://www.myphyzio.com/,info@myphyzio.com,+917659999999,52,1,4,Google can see your pages but can't confirm you're a specific real bus,2026-07-31 15:12  SENT,,,sent with UNLINKED site url - fix in follow-up
B,Kuvio Studio,interior design studio,Bangalore,https://www.kuviostudio.com/,info@kuviostudio.com,+919900810362,59,2,6,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,Prashanth Dental Clinic,cosmetic dental clinic,Vijayanagar,https://prashantdentalclinic.com/,clinicalteam@prashantdentalclinic.com,+918917322835,57,1,5,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,YOS Health,physiotherapy clinic,Bangalore,https://www.yos.health/,info@yos.health,+919606475411,54,1,6,Google can see your pages but can't confirm you're a specific real bus,,,,email written (emails2.json) - not yet loaded to Gmail
B,Mannat Fertility,fertility clinic,Bangalore,https://www.mannatfertility.com/,info@mannatfertility.com,,53,1,5,Google can see your pages but can't confirm you're a specific real bus,,,,email written (emails2.json) - not yet loaded to Gmail
B,Assurance Developers,villa builder,Bangalore,https://assurancedevelopers.com/,contact@assurancedevelopers.com,+919019528585,53,1,5,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,Mister Hair Clinic,hair transplant clinic,Bangalore,https://misterhair.in/,reachus@misterhair.in,+917369543638,49,1,5,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,MERIT Education,study abroad consultancy,Bangalore,https://meritedu.co.in/,merit.consultantsinfo@meritedu.co.in,+919108978005,49,1,5,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,Aspire Fertility,fertility clinic,Bangalore,https://www.aspirefertility.in/,info@aspirefertility.in,+917307692308,48,1,4,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,Interio Splash,interior design studio,Bangalore,https://interiosplash.com/,info@interiosplash.com,,48,1,4,Google can see your pages but can't confirm you're a specific real bus,,,,email written (emails2.json) - not yet loaded to Gmail
B,Abroad Education Counsel,study abroad consultancy,Bangalore,https://abroadeducounsel.com/,info@abroadeducounsel.com,,48,1,4,Google can see your pages but can't confirm you're a specific real bus,,,,email written (emails2.json) - not yet loaded to Gmail
B,Physio365,physiotherapy clinic,Bangalore,https://www.physio365.com/,info@physio365.com,+919886658365,48,1,4,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,Neo Follicle Transplant Clinic,hair transplant clinic,Bangalore,https://neofollicletransplant.com/,info@neofollicletransplant.com,+919731207940,47,1,3,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,Dr Swetha's Cosmoderm Centre,skin clinic,Indiranagar,https://drswethacosmodermcentre.com/,info@drswethacosmodermcentre.com,+919620304433,47,1,3,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,Smile Station Dental,cosmetic dental clinic,Domlur,https://smilestation.in/,info@smilestation.in,+916666666667,47,1,4,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
B,Smile Architect,cosmetic dental clinic,Bangalore,https://smilearchitect.in/,drgirishpv@gmail.com,+918660645010,47,1,3,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
C,NU Fertility,fertility clinic,Bangalore,https://www.nufertility.com/,fertility@nuhospitals.com,+916363373733,53,1,5,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
C,Hairfree & Hairgrow,hair transplant clinic,Bangalore,https://hairfreehairgrow.com/,hairfreehairgrow@gmail.com,+917272832222,51,1,3,There's no list of your pages for Google to follow.,,,,email written (emails2.json) - not yet loaded to Gmail
C,Amaya Dental,cosmetic dental clinic,Bangalore,https://amayadental.in/,amayadental.ind@gmail.com,+916582099397,51,1,3,Google can see your pages but can't confirm you're a specific real bus,,,,email written (emails2.json) - not yet loaded to Gmail
C,MIMS Builders,villa builder,Bangalore,https://www.mimsbuilders.com/,info@mimsbuilders.com,+918088411411,48,1,4,Your website never actually tells Google what kind of business you are,,,,email written (emails2.json) - not yet loaded to Gmail
C,Pioneer Advanced Hair Transplant,hair transplant clinic,Bangalore,https://www.hairtransplantsbangalore.com/,info@hairtransplantsbangalore.com,+919972576663,47,1,3,Google can see your pages but can't confirm you're a specific real bus,,,,email written (emails2.json) - not yet loaded to Gmail
C,GarbhaGudi IVF,fertility clinic,Bangalore,https://www.garbhagudi.com/,dreams@garbhagudi.com,+918884183338,44,1,5,Your homepage has only about 107 words on it.,,,,email written (emails2.json) - not yet loaded to Gmail
C,Preeti Developers,property developer,Bangalore,https://www.preetidevelopers.com/,enquiry@preetidevelopers.com,,43,0,5,Your page has 2 competing main headlines.,,,,email written (emails2.json) - not yet loaded to Gmail
